fic,gsubind,datadate,gvkey,curcdm,Share_End,Isin
FRA,45103010,2024-12-31,63169,EUR,33.5,FR0014003TT8
FRA,45103010,2024-12-31,63169,EUR,33.5,FR0014003TT8
FRA,45103010,2024-12-31,63169,EUR,33.5,FR0014003TT8
FRA,45103010,2024-12-31,63169,EUR,33.5,FR0014003TT8
FRA,45103010,2024-12-31,63169,EUR,33.5,FR0014003TT8
FRA,45103010,2024-12-31,63169,EUR,33.5,FR0014003TT8
FRA,45103010,2024-12-31,63169,EUR,33.5,FR0014003TT8
ISR,45103020,2024-12-31,63185,EUR,179.15,IL0010824113
NLD,35203010,2024-12-31,63186,EUR,43.045,NL0015002SN0
NLD,35203010,2024-12-31,63186,EUR,43.045,NL0015002SN0
NLD,35203010,2024-12-31,63186,EUR,43.045,NL0015002SN0
NLD,35203010,2024-12-31,63186,EUR,43.045,NL0015002SN0
NLD,35203010,2024-12-31,63186,EUR,43.045,NL0015002SN0
NLD,35203010,2024-12-31,63186,EUR,43.045,NL0015002SN0
NLD,35203010,2024-12-31,63186,EUR,43.045,NL0015002SN0
DEU,35202010,2024-12-31,100080,EUR,19.314,DE000BAY0017
DEU,35202010,2024-12-31,100080,EUR,19.314,DE000BAY0017
DEU,35202010,2024-12-31,100080,EUR,19.314,DE000BAY0017
DEU,35202010,2024-12-31,100080,EUR,19.314,DE000BAY0017
DEU,35202010,2024-12-31,100080,EUR,19.314,DE000BAY0017
DEU,35202010,2024-12-31,100080,EUR,19.314,DE000BAY0017
DEU,35202010,2024-12-31,100080,EUR,19.314,DE000BAY0017
DEU,35202010,2024-12-31,100080,EUR,19.314,DE000BAY0017
DEU,35202010,2024-12-31,100080,EUR,19.314,DE000BAY0017
DEU,35202010,2024-12-31,100080,EUR,19.314,DE000BAY0017
DEU,35202010,2024-12-31,100080,EUR,19.314,DE000BAY0017
JPN,45203010,2024-12-31,100159,JPY,4286,JP3124400007
GBR,45203010,2024-12-31,100174,GBP,26.89,GB0004052071
GBR,45203010,2024-12-31,100174,GBP,26.89,GB0004052071
JPN,45203015,2024-12-31,100226,JPY,2559.5,JP3914400001
GBR,45103010,2024-12-31,100229,GBP,1.05,GB00BRJRV969
GBR,45103010,2024-12-31,100229,GBP,1.05,GB00BRJRV969
JPN,35202010,2024-12-31,100230,JPY,3520,JP3922800002
JPN,45203015,2024-12-31,100235,JPY,1612.5,JP3126400005
JPN,45301010,2024-12-31,100245,JPY,9198,JP3122400009
JPN,45301010,2024-12-31,100245,JPY,9198,JP3122400009
JPN,35202010,2024-12-31,100290,JPY,1634.5,JP3197600004
JPN,35202010,2024-12-31,100290,JPY,1634.5,JP3197600004
JPN,35202010,2024-12-31,100290,JPY,1634.5,JP3197600004
JPN,35202010,2024-12-31,100336,JPY,4352,JP3475350009
JPN,35202010,2024-12-31,100336,JPY,4352,JP3475350009
JPN,35202010,2024-12-31,100336,JPY,4352,JP3475350009
JPN,45301010,2024-12-31,100388,JPY,9490,JP3494600004
GBR,45201020,2024-12-31,100401,GBP,1.77,GB0004726096
GBR,45201020,2024-12-31,100401,GBP,1.77,GB0004726096
JPN,45203010,2024-12-31,100410,JPY,2272,JP3511000006
JPN,35202010,2024-12-31,100418,JPY,4329,JP3160400002
JPN,35202010,2024-12-31,100418,JPY,4329,JP3160400002
SGP,35202010,2024-12-31,100425,SGD,11.15,SG1D25001158
JPN,45203010,2024-12-31,100438,JPY,934,JP3352400000
