Active,Curr,Loc,Gcis,Gcis_Sub,Comp_Id,Comp_Name,Isin,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Net_Income,Shares_Out,Fyear
A,EUR,ITA,35,35202010,102429,RECORDATI SPA,IT0003828271,5134.455,310.617,2173.81,2341.559,286.026,416.508,206.296,2024
A,ZAR,ZAF,45,45102010,102448,PBT HOLDINGS LTD,ZAE000256319,381.014,22.473,6.12,1087.321,,64.882,100.161,2024
A,ZAR,ZAF,45,45102010,102544,ALTRON LIMITED,ZAE000191342,9112,742,950,9588,,591,381.218,2024
I,GBP,GBR,45,45203010,102569,SPECTRIS PLC,GB0003308607,2559.3,35.4,696,1298.7,104.8,233.6,98.796,2024
A,JPY,JPN,45,45203015,102620,IBIDEN CO LTD,JP3148800000,1081684,90000,253060,369436,27451,33704.44,139.6104,2024
A,JPY,JPN,45,45102010,102625,BIPROGY INC,JP3754200008,330876,17469,25129,404010,5226,26965.63,98.1825,2024
A,GBP,GBR,45,45203015,102638,TT ELECTRONICS PLC,GB0008711763,512.3,4.1,162.5,521.1,11.8,-53.4,177.296,2024
A,USD,CHE,45,45202030,102696,LOGITECH INTERNATIONAL SA,CH0025751329,3538.504,15.78,76.622,4554.9,309.008,631.529,148.509,2024
A,JPY,JPN,45,45203015,102746,CMK CORP,JP3712000003,148540,12881,31353,95486,554,3789.415,71.2519,2024
A,JPY,JPN,35,35202010,102839,NIPPON SHINYAKU CO LTD,JP3717600005,283637,1348,1374,160232,34341,32557.957,67.3795,2024
A,JPY,JPN,45,45301010,102841,TOKYO SEIMITSU CO LTD,JP3580200008,237952,6627,13456,150534,10354,25637.594,40.4648,2024
A,JPY,JPN,45,45103010,201890,ISB CORP,JP3100700008,19800,120,0,33954,164,2032.432,11.4374,2024
A,JPY,JPN,45,45301020,103053,ROHM CO LTD,JP3982800009,1440765,100000,300000,448466,57245,-50091.057,385.98,2024
A,EUR,SWE,45,45203010,103065,HEXAGON AB,SE0015961909,17850.5,730.9,3100.1,5401.1,926,1023.4,2574.128,2024
I,JPY,JPN,45,45203030,103076,KYOEI SANGYO CO LTD (WHSL),JP3247200003,37864,3718,4007,57709,23,1719.192,3.0095,2024
A,JPY,JPN,45,45203010,103228,KEYENCE CORP,JP3236200006,3289224,0,0,1059145,28856,398656.087,242.5253,2024
A,EUR,FRA,45,45202030,103277,ARTOIS (INDUSTR & FINANCIER),FR0000076952,2454.662,53.908,0.827,193.957,,20.339,0.266,2024
A,EUR,CHE,45,45203030,103384,ALSO-ACTEBIS HOLDING AG,CH0024590272,3476.574,125.575,114.411,9505.577,,115.05,12.252,2024
A,EUR,DEU,45,45103010,103487,SAP SE,DE0007164600,74122,3433,6720,34176,6603,3124,1166.589,2024
A,EUR,ESP,45,45201020,103600,GRUPO EZENTIS SA,ES0172708234,6.327,0.717,0.712,13.884,,-3.063,487.67,2024
I,SGD,SGP,45,45202020,103710,GENERAL MAGNETICS,SG1A16000618,22.387,6.385,0,1.769,,,,2024
